syscall
exit
fork
read
write
open
close
wait4
link
unlink
chdir
fchdir
mknod
chmod
chown
getfsstat
getpid
setuid
getuid
geteuid
ptrace
recvmsg
sendmsg
recvfrom
accept
getpeername
getsockname
access
chflags
fchflags
sync
kill
getppid
dup
pipe
getegid
sigaction
getgid
sigprocmask
getlogin
setlogin
acct
sigpending
sigaltstack
ioctl
reboot
revoke
symlink
readlink
execve
umask
chroot
msync
vfork
munmap
mprotect
madvise
mincore
getgroups
setgroups
getpgrp
setpgid
setitimer
swapon
getitimer
getdtablesize
dup2
fcntl
select
fsync
setpriority
socket
connect
getpriority
bind
setsockopt
listen
sigsuspend
gettimeofday
getrusage
getsockopt
readv
writev
settimeofday
fchown
fchmod
setreuid
setregid
rename
flock
mkfifo
sendto
shutdown
socketpair
mkdir
rmdir
utimes
futimes
adjtime
gethostuuid
setsid
getpgid
setprivexec
pread
pwrite
nfssvc
statfs
fstatfs
unmount
getfh
quotactl
mount
csops
csops_audittoken
waitid
kdebug_typefilter
kdebug_trace_string
kdebug_trace64
kdebug_trace
setgid
setegid
seteuid
sigreturn
thread_selfcounts
fdatasync
stat
fstat
lstat
pathconf
fpathconf
getrlimit
setrlimit
getdirentries
mmap
lseek
truncate
ftruncate
sysctl
mlock
munlock
undelete
open_dprotected_np
fsgetpath_ext
getattrlist
setattrlist
getdirentriesattr
exchangedata
searchfs
delete
copyfile
fgetattrlist
fsetattrlist
poll
getxattr
fgetxattr
setxattr
fsetxattr
removexattr
fremovexattr
listxattr
flistxattr
fsctl
initgroups
posix_spawn
ffsctl
nfsclnt
fhopen
minherit
semsys
msgsys
shmsys
semctl
semget
semop
msgctl
msgget
msgsnd
msgrcv
shmat
shmctl
shmdt
shmget
shm_open
shm_unlink
sem_open
sem_close
sem_unlink
sem_wait
sem_trywait
sem_post
sysctlbyname
open_extended
umask_extended
stat_extended
lstat_extended
fstat_extended
chmod_extended
fchmod_extended
access_extended
settid
gettid
setsgroups
getsgroups
setwgroups
getwgroups
mkfifo_extended
mkdir_extended
identitysvc
shared_region_check_np
vm_pressure_monitor
psynch_rw_longrdlock
psynch_rw_yieldwrlock
psynch_rw_downgrade
psynch_rw_upgrade
psynch_mutexwait
psynch_mutexdrop
psynch_cvbroad
psynch_cvsignal
psynch_cvwait
psynch_rw_rdlock
psynch_rw_wrlock
psynch_rw_unlock
psynch_rw_unlock2
getsid
settid_with_pid
psynch_cvclrprepost
aio_fsync
aio_return
aio_suspend
aio_cancel
aio_error
aio_read
aio_write
lio_listio
iopolicysys
process_policy
mlockall
munlockall
issetugid
__pthread_kill
__pthread_sigmask
__sigwait
__disable_threadsignal
__pthread_markcancel
__pthread_canceled
__semwait_signal
proc_info
sendfile
stat64
fstat64
lstat64
stat64_extended
lstat64_extended
fstat64_extended
getdirentries64
statfs64
fstatfs64
getfsstat64
__pthread_chdir
__pthread_fchdir
audit
auditon
getauid
setauid
getaudit_addr
setaudit_addr
auditctl
bsdthread_create
bsdthread_terminate
kqueue
kevent
lchown
bsdthread_register
workq_open
workq_kernreturn
kevent64
__old_semwait_signal
__old_semwait_signal_nocancel
thread_selfid
ledger
kevent_qos
kevent_id
__mac_execve
__mac_syscall
__mac_get_file
__mac_set_file
__mac_get_link
__mac_set_link
__mac_get_proc
__mac_set_proc
__mac_get_fd
__mac_set_fd
__mac_get_pid
pselect
pselect_nocancel
read_nocancel
write_nocancel
open_nocancel
close_nocancel
wait4_nocancel
recvmsg_nocancel
sendmsg_nocancel
recvfrom_nocancel
accept_nocancel
msync_nocancel
fcntl_nocancel
select_nocancel
fsync_nocancel
connect_nocancel
sigsuspend_nocancel
readv_nocancel
writev_nocancel
sendto_nocancel
pread_nocancel
pwrite_nocancel
waitid_nocancel
poll_nocancel
msgsnd_nocancel
msgrcv_nocancel
sem_wait_nocancel
aio_suspend_nocancel
__sigwait_nocancel
__semwait_signal_nocancel
__mac_mount
__mac_get_mount
__mac_getfsstat
fsgetpath
audit_session_self
audit_session_join
fileport_makeport
fileport_makefd
audit_session_port
pid_suspend
pid_resume
pid_hibernate
pid_shutdown_sockets
